,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1733,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1057, ,R4,635 WEST 42ND   STREET,12B,10036,1,0,1, -  , -  ,2005,2,R4,860000,2016-12-02 00:00:00
1734,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1097, ,R4,635 WEST 42ND   STREET,8C,10036,1,0,1, -  , -  ,2005,2,R4,500,2016-12-08 00:00:00
1735,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1120, ,R4,635 WEST 42ND   STREET,3D,10036,1,0,1, -  , -  ,2005,2,R4,777000,2016-11-21 00:00:00
1736,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1125, ,R4,635 WEST 42ND   STREET,8D,10036,1,0,1, -  , -  ,2005,2,R4,822665,2017-06-28 00:00:00
1737,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1134, ,R4,635 WEST 42ND STREET,18D,10036,1,0,1, -  , -  ,2005,2,R4,971000,2016-09-15 00:00:00
1738,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1137, ,R4,635 W 42 ST,21D,10036,1,0,1, -  , -  ,2005,2,R4,1053888,2017-01-27 00:00:00
1739,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1137, ,R4,635 WEST 42 STREET,21D,10036,1,0,1, -  , -  ,2005,2,R4,752000,2016-11-29 00:00:00
1740,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1161, ,R4,635 WEST 42ND   STREET,45D,10036,1,0,1, -  , -  ,2005,2,R4,1787500,2017-03-01 00:00:00
1741,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1168, ,R4,635 WEST 42ND STREET,7E,10036,1,0,1, -  , -  ,2005,2,R4,930000,2017-05-19 00:00:00
1742,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1176, ,R4,635 W 42 ST,16E,10036,1,0,1, -  , -  ,2005,2,R4,1045000,2017-05-08 00:00:00
